,Region,Category,Subcategory,Id,Name,pinyin,Score,IG_link,Google_link
172,wenzhou,飲料/甜點,冰品,ChIJUdCXA4mpQjQRZPGRRpD3Id4,大安新生59,dà ān xīn shēng 59 ,10.0,None,https://maps.google.com/?cid=16006346749682774372
181,gongguan,飲料/甜點,冰品,ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,dà xué kǒu lín lǎo bēi ,9.38391977799444,None,https://maps.google.com/?cid=4435091076644705144
178,wenzhou,飲料/甜點,冰品,ChIJnXwOZI6pQjQRAflopgjJ4YQ,六雪亭,liù xuě tíng ,8.898581787358014,None,https://maps.google.com/?cid=9575155321755203841
250,gongguan,日式料理,日式料理,ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,jǐng shòu sī ,8.898217351846554,None,https://maps.google.com/?cid=8043491784975510163
182,gongguan,飲料/甜點,飲料,ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,yuán diǎn xiān qī chá ,8.849844794188403,None,https://maps.google.com/?cid=2885860809760716056
291,wenzhou,台式/小吃,便當,ChIJAz0YPo6pQjQR2GJnYZk8cLA,圓理想事業有限公司,yuán lǐ xiǎng shì yè yǒu xiàn gōng sī ,8.764226993041312,None,https://maps.google.com/?cid=12713728377528738520
216,gongguan,台式/小吃,小吃,ChIJT0pZeoupQjQRwI-GLzd8anA,阿姨小吃,ā yí xiǎo chī ,8.475867255659024,https://www.instagram.com/explore/locations/133812637226793/,https://maps.google.com/?cid=8100423456241651648
307,wenzhou,西式/美式,早午餐,ChIJk9oTpoWpQjQRuxUrQ9ka97Y,美而美早午餐,měi ér měi zǎo wǔ cān ,8.399927886357428,None,https://maps.google.com/?cid=13184035954587538875
322,gongguan,素食/健康,素食,ChIJfWS1j4upQjQRcetn4MZu_pw,如來素食樂園,rú lái sù shí lè yuán ,8.380828905984592,None,https://maps.google.com/?cid=11312601114448751473
113,118,素食/健康,素食,ChIJ-7fAMS-qQjQRDzUNsedgCjI,貞有緣素食,zhēn yǒu yuán sù shí ,8.279728588533676,None,https://maps.google.com/?cid=3605800999887648015
81,118,台式/小吃,滷味,ChIJF4_o9UqrQjQRj7D5V0AFoUI,滷意思,lǔ yì sī ,8.27845905526865,None,https://maps.google.com/?cid=4801124451665686671
26,118,飲料/甜點,飲料,ChIJMdlHJS-qQjQR5BfbVK3ZMKQ,tcshop,tcshop ,8.191213764516135,None,https://maps.google.com/?cid=11831195559578507236
213,gongguan,台式/小吃,小吃,ChIJpzBnmROpQjQRvWv0MnikG_U,胡饕米粉湯‧黑白切,hú tāo mǐ fěn tāng ‧ hēi bái qiè ,8.05774851394966,None,https://maps.google.com/?cid=17661891199821441981
