Category,Subcategory,Id,Name,pinyin,Score,IG_link,Google_link,region,periods,Mon,Tues,Wed,Thur,Fri,Sat,Sun
飲料/甜點,冰品,ChIJUdCXA4mpQjQRZPGRRpD3Id4,大安新生59,dà ān xīn shēng 59 ,10.0,None,https://maps.google.com/?cid=16006346749682774372,wenzhou,"[{'close': {'day': 1, 'time': '1130'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '1130'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '1130'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1130'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1130'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '1130'}, 'open': {'day': 6, 'time': '0730'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1800'}}]",None,None,None,None,None,None,None
飲料/甜點,冰品,ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,dà xué kǒu lín lǎo bēi ,9.38391977799444,None,https://maps.google.com/?cid=4435091076644705144,gongguan,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1130'}}]",None,None,None,None,None,None,None
飲料/甜點,冰品,ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,dà xué kǒu lín lǎo bēi ,9.38391977799444,None,https://maps.google.com/?cid=4435091076644705144,wenzhou,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1130'}}]",None,None,None,None,None,None,None
飲料/甜點,冰品,ChIJnXwOZI6pQjQRAflopgjJ4YQ,六雪亭,liù xuě tíng ,8.898581787358014,None,https://maps.google.com/?cid=9575155321755203841,wenzhou,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}]",None,None,None,None,None,None,None
日式料理,日式料理,ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,jǐng shòu sī ,8.898217351846554,None,https://maps.google.com/?cid=8043491784975510163,gongguan,"[{'close': {'day': 0, 'time': '1430'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1730'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1730'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1730'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1430'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1730'}}]",None,None,None,None,None,None,None
日式料理,日式料理,ChIJi61r0NipQjQRk-o8hSk5oG8,丼壽司,jǐng shòu sī ,8.898217351846554,None,https://maps.google.com/?cid=8043491784975510163,wenzhou,"[{'close': {'day': 0, 'time': '1430'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1730'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1730'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1730'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1430'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1730'}}]",None,None,None,None,None,None,None
飲料/甜點,飲料,ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,yuán diǎn xiān qī chá ,8.849844794188403,None,https://maps.google.com/?cid=2885860809760716056,gongguan,"[{'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '0800'}}]",None,None,None,None,None,None,None
飲料/甜點,飲料,ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,yuán diǎn xiān qī chá ,8.849844794188403,None,https://maps.google.com/?cid=2885860809760716056,wenzhou,"[{'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '0800'}}]",None,None,None,None,None,None,None
台式/小吃,便當,ChIJAz0YPo6pQjQR2GJnYZk8cLA,圓理想事業有限公司,yuán lǐ xiǎng shì yè yǒu xiàn gōng sī ,8.764226993041312,None,https://maps.google.com/?cid=12713728377528738520,wenzhou,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0800'}}]","[0, 0, 0, 0, 0, 0, 0, 0, 47, 44, 36, 31, 39, 65, 89, 81, 42, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 55, 60, 55, 42, 26, 39, 84, 100, 44, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 55, 65, 76, 89, 97, 100, 86, 63, 34, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 50, 65, 76, 81, 78, 71, 55, 39, 23, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 36, 55, 73, 81, 73, 50, 23, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 44, 44, 39, 34, 23, 13, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
台式/小吃,小吃,ChIJT0pZeoupQjQRwI-GLzd8anA,阿姨小吃,ā yí xiǎo chī ,8.475867255659024,https://www.instagram.com/explore/locations/133812637226793/,https://maps.google.com/?cid=8100423456241651648,gongguan,None,None,None,None,None,None,None,None
台式/小吃,小吃,ChIJT0pZeoupQjQRwI-GLzd8anA,阿姨小吃,ā yí xiǎo chī ,8.475867255659024,https://www.instagram.com/explore/locations/133812637226793/,https://maps.google.com/?cid=8100423456241651648,wenzhou,None,None,None,None,None,None,None,None
西式/美式,早午餐,ChIJk9oTpoWpQjQRuxUrQ9ka97Y,美而美早午餐,měi ér měi zǎo wǔ cān ,8.399927886357428,None,https://maps.google.com/?cid=13184035954587538875,wenzhou,"[{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0600'}}]",None,None,None,None,None,None,None
素食/健康,素食,ChIJfWS1j4upQjQRcetn4MZu_pw,如來素食樂園,rú lái sù shí lè yuán ,8.380828905984593,None,https://maps.google.com/?cid=11312601114448751473,gongguan,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 0, 'time': '1945'}, 'open': {'day': 0, 'time': '1700'}}, {'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '1945'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '1945'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '1945'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '1945'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '1945'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '1100'}}, {'close': {'day': 6, 'time': '1945'}, 'open': {'day': 6, 'time': '1700'}}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 93, 44, 10, 0, 0, 60, 61, 25, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 65, 43, 18, 0, 0, 62, 70, 16, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 91, 41, 9, 0, 0, 52, 61, 27, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 65, 32, 9, 0, 0, 42, 70, 24, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 80, 36, 12, 0, 0, 51, 77, 31, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 44, 36, 18, 0, 0, 44, 31, 8, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 100, 52, 12, 0, 0, 56, 67, 33, 0, 0, 0, 0]"
