general_type,specific_type,place_id,店名,地址,電話,評分,價位,連結,評價數,緯度,經度
西式/美式,義大利麵,ChIJ7bzsvIWpQjQR_7znp7ehwPQ,發現義大利麵,106台灣台北市大安區和平東路二段118巷2之2號,02 8732 3723,3.6,null,https://maps.google.com/?cid=17636273950950931711,778,25.0242651,121.5427916
西式/美式,義大利麵,ChIJzUlT0i6qQjQRxdfM8tM4QJs,格芮潘義式創意廚房,106台灣台北市大安區和平東路二段118巷5-1號,02 2736 0222,3.6,null,https://maps.google.com/?cid=11187003957351077829,406,25.0238789,121.5429395
西式/美式,義大利麵,ChIJD_lknCiqQjQRVGHx1rKAMAQ,貝菈小屋,106台灣台北市大安區辛亥路二段159號,02 2736 8478,4.4,null,https://maps.google.com/?cid=301882680632500564,296,25.0216949,121.5406862
西式/美式,義大利麵,ChIJyZVhyy6qQjQRwfSyA51_YQk,麵工坊義大利麵 大安店,106台灣台北市大安區和平東路二段118巷2弄1號1樓,02 2377 6186,4,null,https://maps.google.com/?cid=675961731430937793,456,25.0244818,121.5428158
西式/美式,義大利麵,ChIJu1lFmSuqQjQRk53G7FFCMNo,29號館 義大利麵,106台灣台北市大安區瑞安街67-1號,02 2706 6577,4.1,null,https://maps.google.com/?cid=15722139218782625171,300,25.028628,121.541456
西式/美式,義大利麵,ChIJAZ9JQSqqQjQRBghptcqL5Oc,格拉齊 建國店,"號, No. 22建國南路二段151巷大安區台北市台灣 106",02 2754 1088,3.4,null,https://maps.google.com/?cid=16709634220194596870,262,25.0286727,121.5387572
西式/美式,義大利麵,ChIJUcEGgSmqQjQRYCaPCUjkuHo,ANTICO FORNO 老烤箱義式披薩餐酒,106台灣台北市大安區瑞安街141號,02 2706 3322,4.3,null,https://maps.google.com/?cid=8843068866391123552,1087,25.0267148,121.53968
西式/美式,義大利麵,ChIJbWZX5CuqQjQRWSO_bCWVuks,Vitalit 義式廚房,106台灣台北市大安區和平東路二段175巷32號,02 2755 7266,4.2,null,https://maps.google.com/?cid=5456837886483571545,498,25.0267432,121.5417105
日式料理,咖哩,ChIJlQatoPGrQjQRB1x_P6NW-qA,雷咖哩 Les Currys,106台灣台北市大安區復興南路二段160巷11號1樓,02 2700 4175,4.7,null,https://maps.google.com/?cid=11599679049391102983,233,25.0279075,121.5425025
日式料理,咖哩,ChIJIeDdzC6qQjQRNSWr3s9zET0,靚咖哩,106台灣台北市大安區和平東路二段118巷2號,02 2732 2838,3.7,null,https://maps.google.com/?cid=4400425647548867893,366,25.0245841,121.5428162
西式/美式,牛排,ChIJg6PDhy6qQjQR0ukjicjzGWo,澳客炙燒牛排,106台灣台北市大安區和平東路二段329號,02 2700 7759,3.6,null,https://maps.google.com/?cid=7645409885057968594,591,25.025,121.5455556
