place_id,chinese_name,pinyin
ChIJ7bzsvIWpQjQR_7znp7ehwPQ,發現義大利麵,fā xiàn yì dà lì miàn 
ChIJzUlT0i6qQjQRxdfM8tM4QJs,格芮潘義式創意廚房,gé ruì pān yì shì chuàng yì chú fáng 
ChIJD_lknCiqQjQRVGHx1rKAMAQ,貝菈小屋,bèi lā xiǎo wū 
ChIJyZVhyy6qQjQRwfSyA51_YQk,麵工坊義大利麵 大安店,miàn gōng fāng yì dà lì miàn   dà ān diàn 
ChIJu1lFmSuqQjQRk53G7FFCMNo,29號館 義大利麵,29 hào guǎn   yì dà lì miàn 
ChIJAZ9JQSqqQjQRBghptcqL5Oc,格拉齊 建國店,gé lā qí   jiàn guó diàn 
ChIJUcEGgSmqQjQRYCaPCUjkuHo,ANTICO FORNO 老烤箱義式披薩餐酒,ANTICO FORNO  lǎo kǎo xiāng yì shì pī sà cān jiǔ 
ChIJbWZX5CuqQjQRWSO_bCWVuks,Vitalit 義式廚房,Vitalit  yì shì chú fáng 
ChIJlQatoPGrQjQRB1x_P6NW-qA,雷咖哩 Les Currys,léi kā lī  Les Currys 
ChIJIeDdzC6qQjQRNSWr3s9zET0,靚咖哩,jìng kā lī 
ChIJg6PDhy6qQjQR0ukjicjzGWo,澳客炙燒牛排,ào kè zhì shāo niú pái 
ChIJbUSvSy-qQjQRci9P23xzEpU,紫牛平價牛排,zǐ niú píng jià niú pái 
ChIJvSeCr-yrQjQRca5yiuSP8LQ,人厚切牛排復興店,rén hòu qiè niú pái fù xìng diàn 
ChIJX5zNTi-qQjQR6M7TD6_5Q_o,阿英海產粥,ā yīng hǎi chǎn zhōu 
ChIJ4yt0hyyqQjQRA905QCvA3O4,小李子清粥小菜,xiǎo lǐ zi qīng zhōu xiǎo cài 
ChIJtT6JmSyqQjQRwCojfqo_tQc,一流清粥小菜,yì liú qīng zhōu xiǎo cài 
ChIJvcujSy-qQjQRto5ZJCZwlM4,源士林粥品（台大店）,yuán shì lín zhōu pǐn （ tái dà diàn ） 
ChIJPVZjNkurQjQRmQaNxdLSAy8,秘方雪人兄弟 和平花園店 Snow Bro,mì fāng xuě rén xiōng dì   hé píng huā yuán diàn  Snow Bro 
ChIJjwZ6tVarQjQRYetPz2HfYRY,喝冰U茶飲冰品店,hē bīng U chá yǐn bīng pǐn diàn 
ChIJ__tghC6qQjQRUBvaNLc6xbA,回溫豆花飲品,huí wēn dòu huā yǐn pǐn 
ChIJWz91NS-qQjQR-bSpyNZyFgM,尤媽媽甜品屋,yóu mā mā tián pǐn wū 
ChIJveJFkS2qQjQRplS6S5rj-Vg,IDea創意食坊,IDea chuàng yì shí fāng 
ChIJwVbMZmSrQjQRG1Ao8Puhicc,方最茗品,fāng zuì míng pǐn 
ChIJmXIR2y6qQjQRFHqZuDFx3nw,MTB米堤銀行｜鮮乳．茶（大安總行）創始店,MTB mǐ dī yín xíng ｜ xiān rǔ ． chá （ dà ān zǒng xíng ） chuàng shǐ diàn 
ChIJhffc2i6qQjQRcEMd2wIyjGc,春山茶水舖,chūn shān chá shuǐ pù 
ChIJmXIR2y6qQjQRFHqZuDFx3nw,MTB米堤銀行｜鮮乳．茶（大安總行）創始店,MTB mǐ dī yín xíng ｜ xiān rǔ ． chá （ dà ān zǒng xíng ） chuàng shǐ diàn 
ChIJhffc2i6qQjQRcEMd2wIyjGc,春山茶水舖,chūn shān chá shuǐ pù 
ChIJqwjYhS6qQjQR4HTbiTKughk,囍庄茶舖,xǐ zhuāng chá pù 
ChIJMdlHJS-qQjQR5BfbVK3ZMKQ,tcshop,tcshop 
ChIJ8ddmN0urQjQRqq7PUMioVF4,日日良選 科技大樓店,rì rì liáng xuǎn   kē jì dà lóu diàn 
ChIJUV6FAS2qQjQRUthThHvbjbM,清心福全成功店-珍珠奶茶手搖飲料專賣店,qīng xīn fú quán chéng gōng diàn - zhēn zhū nǎi chá shǒu yáo yǐn liào zhuān mài diàn 
ChIJVVWJjy6qQjQRNzyW-t0EHkQ,Co Co 都可(和平東門市),Co Co  dōu kě ( hé píng dōng mén shì ) 
ChIJfRwILS-qQjQRa-f5mDID4Xg,何媽媽手作蒟蒻,hé mā mā shǒu zuò jǔ ruò 
ChIJZb9oaiqqQjQR4aQAovtfeeY,茶鬍Beard Cup,chá hú Beard Cup 
ChIJhXUmW-OrQjQRM6lN1rAp-uE,布鹿‧果漾新鮮式Blue deer(大安瑞安店),bù lù ‧ guǒ yàng xīn xiān shì Blue deer( dà ān ruì ān diàn ) 
ChIJq6qqqoupQjQRYbGXSz3WNEc,九品川,jiǔ pǐn chuān 
ChIJj9igBSyqQjQRIhneEGIUMTQ,眯糊茶,mī hú chá 
ChIJPVZjNkurQjQRmQaNxdLSAy8,秘方雪人兄弟 和平花園店 Snow Bro,mì fāng xuě rén xiōng dì   hé píng huā yuán diàn  Snow Bro 
ChIJfTWPASWrQjQRGvEyaJ5_k4s,御心 木瓜牛奶 復興成功店,yù xīn   mù guā niú nǎi   fù xìng chéng gōng diàn 
ChIJDWGjKiyqQjQREW2vZOXMOYg,原川日式精緻涮涮鍋,yuán chuān rì shì jīng zhì shuàn shuàn guō 
ChIJI4M1JV6rQjQRDz7ni4ud2zM,依依平價小火鍋,yī yī píng jià xiǎo huǒ guō 
ChIJY3YUcaKrQjQRZ1OTdcQlbEo,二本松涮涮屋 本館 ER BEN SONG SHABU 大安火鍋 台北美食,èr běn sōng shuàn shuàn wū   běn guǎn  ER BEN SONG SHABU  dà ān huǒ guō   tái běi měi shí 
ChIJB_6IcCyqQjQRx4bUN_j-jlI,天天旺麻辣鴛鴦火鍋,tiān tiān wàng má là yuān yāng huǒ guō 
ChIJMS8whyuqQjQRbqBGebOZsdc,禾豐日式涮涮鍋,hé fēng rì shì shuàn shuàn guō 
ChIJRfB_uCuqQjQRS9ywVk8bYfI,龍門客棧餃子館 瑞安店,lóng mén kè zhàn jiǎo zi guǎn   ruì ān diàn 
