place_id,name,IG_link,img_source
ChIJ7bzsvIWpQjQR_7znp7ehwPQ,發現義大利麵,https://www.instagram.com/explore/locations/1463682/,https://www.instagram.com/p/B8kpMyxDUN1/
ChIJzUlT0i6qQjQRxdfM8tM4QJs,格芮潘義式創意廚房,https://www.instagram.com/explore/locations/329485438/,https://www.instagram.com/p/CAkp9WNDjEH/
ChIJD_lknCiqQjQRVGHx1rKAMAQ,貝菈小屋,https://www.instagram.com/explore/locations/1020964267/,None
ChIJyZVhyy6qQjQRwfSyA51_YQk,麵工坊義大利麵 大安店,https://www.instagram.com/explore/locations/236799206/,None
ChIJu1lFmSuqQjQRk53G7FFCMNo,29號館 義大利麵,null,None
ChIJAZ9JQSqqQjQRBghptcqL5Oc,格拉齊 建國店,null,None
ChIJUcEGgSmqQjQRYCaPCUjkuHo,ANTICO FORNO 老烤箱義式披薩餐酒,https://www.instagram.com/explore/locations/237760651/antico-forno/,https://www.instagram.com/p/CCDfARZJz4x/
ChIJbWZX5CuqQjQRWSO_bCWVuks,Vitalita 義式廚房,https://www.instagram.com/explore/locations/545565008/vitalita/,https://www.instagram.com/p/BZYUtTFHeoE/
ChIJlQatoPGrQjQRB1x_P6NW-qA,雷咖哩 Les Currys,https://www.instagram.com/explore/locations/101076181236458/les-currys/,https://www.instagram.com/p/B2JuQzknDnV/
ChIJIeDdzC6qQjQRNSWr3s9zET0,靚咖哩,https://www.instagram.com/explore/locations/72586/,None
ChIJg6PDhy6qQjQR0ukjicjzGWo,澳客炙燒牛排,https://www.instagram.com/explore/locations/251809023/,https://www.instagram.com/p/B-mUWYDDZ_W/
ChIJbUSvSy-qQjQRci9P23xzEpU,紫牛平價牛排,https://www.instagram.com/explore/locations/294898134229798/,https://www.instagram.com/p/B358Nn_jZGm/
ChIJvSeCr-yrQjQRca5yiuSP8LQ,人厚切牛排復興店,https://www.instagram.com/explore/locations/1768978093356486/-/,https://www.instagram.com/p/CGKOlO6MLm0/
ChIJX5zNTi-qQjQR6M7TD6_5Q_o,阿英海產粥,https://www.instagram.com/explore/locations/7692878/,https://www.instagram.com/p/BblEEMIBML0/
ChIJ4yt0hyyqQjQRA905QCvA3O4,小李子清粥小菜,https://www.instagram.com/explore/locations/813236065/,https://www.instagram.com/p/B7QtWcthv0g/
ChIJtT6JmSyqQjQRwCojfqo_tQc,一流清粥小菜,https://www.instagram.com/explore/locations/1041643/,None
