general_type,specific_type,place_id,店名,地址,電話,評分,價位,連結,評價數,緯度,經度
西式/美式,義大利麵,ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,100台灣台北市中正區羅斯福路三段282號1樓,02 2368 7767,3.8,null,https://maps.google.com/?cid=2503822803273523485,401,25.0164986,121.5321045
西式/美式,義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,100台灣台北市中正區羅斯福路三段316巷8弄14號,02 2365 0065,3.5,null,https://maps.google.com/?cid=15809970159831823116,238,25.0152586,121.5326362
西式/美式,義大利麵,ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,106台灣台北市大安區新生南路三段86巷6號,02 2367 3721,3.6,null,https://maps.google.com/?cid=5879462888577126547,752,25.0188889,121.5330556
西式/美式,義大利麵,ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,106台灣台北市大安區新生南路三段86巷6號,02 2367 3721,3.1,null,https://maps.google.com/?cid=6578111792483500997,63,25.0188155,121.5331111
西式/美式,義大利麵,ChIJuyk2l4qpQjQRILRCQId5ZZA,義饗食堂,106台灣台北市大安區羅斯福路四段83號2樓,02 7735 5077,3.9,null,https://maps.google.com/?cid=10404856135915058208,1798,25.0133813,121.5363519
西式/美式,義大利麵,ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,100台灣台北市中正區羅斯福路三段284巷12號1樓,02 2368 2681,4,null,https://maps.google.com/?cid=7453385719502267999,437,25.015906,121.531735
西式/美式,義大利麵,ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,106台灣台北市大安區羅斯福路三段283巷3號,02 3365 1995,4.2,null,https://maps.google.com/?cid=15167680852479366162,208,25.0182077,121.5315075
西式/美式,義大利麵,ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,106台灣台北市大安區學府里,02 2362 7055,4.3,null,https://maps.google.com/?cid=7430540869609708512,19,25.0154949,121.5369399
日式料理,咖哩,ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,100台灣台北市中正區汀州路三段164號,02 2362 6066,3.1,null,https://maps.google.com/?cid=15236319752336566174,808,25.0133798,121.534466
日式料理,咖哩,ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,100台灣台北市中正區羅斯福路四段92號,0955 698 760,4.5,null,https://maps.google.com/?cid=1954933244032717655,279,25.0137421,121.5350294
西式/美式,牛排,ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,10091台灣台北市中正區羅斯福路四段108巷4號,02 2367 1903,3.9,null,https://maps.google.com/?cid=3572423608460852660,79,25.0132883,121.535205
西式/美式,牛排,ChIJcZxRZB2pQjQRuahHVqB5oH0,威宇牛排 - 公館店,100台灣台北市中正區汀州路三段257號,02 2368 6875,4.4,null,https://maps.google.com/?cid=9052368980563962041,684,25.0129429,121.5352067
西式/美式,牛排,ChIJkyhZx4qpQjQRmedCjTZZmec,有間牛排,100台灣台北市中正區羅斯福路四段136巷1弄3號,02 2363 1111,3.2,null,https://maps.google.com/?cid=16688467985031161753,5,25.0128599,121.535561
西式/美式,牛排,ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,100台灣台北市中正區羅斯福路三段316巷8弄8號,02 2368 0873,3.8,null,https://maps.google.com/?cid=4769622923201321589,333,25.015415,121.5325289
西式/美式,牛排,ChIJrfUpGjOpQjQRDnFOEvCTOlI,好吃好吃 2號店,100台灣台北市中正區羅斯福路三段316巷16號2樓,02 2362 9538,3.4,null,https://maps.google.com/?cid=5925210919067873550,269,25.01544789999999,121.5323482
西式/美式,牛排,ChIJ9Tlx4NSpQjQRz_IB3tkM0V4,孫東寶牛排大安羅斯福店,106台灣台北市大安區羅斯福路三段277號,02 2366 1799,3.9,null,https://maps.google.com/?cid=6832256239569859279,1101,25.0182539,121.531046
西式/美式,牛排,ChIJldrqooqpQjQRl4bCVhVRvuI,龐德羅莎(台大店),106台灣台北市大安區羅斯福路四段85號二樓,02 2366 0046,3.9,null,https://maps.google.com/?cid=16338585650238490263,1435,25.013051,121.5367739
台式/小吃,粥,ChIJddB-FnOpQjQRtpaWgedVZPI,源士林粥品,100台灣台北市中正區汀州路三段134號,02 2368 3593,3.6,null,https://maps.google.com/?cid=17466179707649562294,178,25.0138699,121.533816
台式/小吃,粥,ChIJsxRQ5oupQjQRN_9HJB8OuEk,粥粥頌廣東粥專賣店,106台灣台北市大安區羅斯福路三段333巷2-1號,02 2364 5542,2.9,null,https://maps.google.com/?cid=5312011287398973239,60,25.017042,121.5324435
台式/小吃,粥,ChIJa751qv-pQjQRNR7GmheM72U,滿粥穗 台北公館店,100台灣台北市中正區汀州路三段158號,02 2367 3211,3.7,null,https://maps.google.com/?cid=7345243550273379893,39,25.0135419,121.534286
飲料/甜點,冰品,ChIJm6NFboypQjQR-FXOgyKvjA4,Mr. 雪腐 公館店,100台灣台北市中正區羅斯福路三段244巷21號,02 2363 5200,4.5,null,https://maps.google.com/?cid=1048405376045569528,1697,25.0166544,121.5304567
飲料/甜點,冰品,ChIJSZWZbwOpQjQRZ0I4u3wZZiY,旺來甜冰品-Wang Lai Ice Shop,100046台灣台北市中正區羅斯福路四段92號水源市場一樓100號,02 2366 0280,4.3,null,https://maps.google.com/?cid=2766927044573413991,11,25.01365089999999,121.5349726
飲料/甜點,冰品,ChIJuaw9uIqpQjQR4ti8RP9PTro,綠屋冰城,100台灣台北市中正區羅斯福路四段136巷6弄4號,null,4.8,null,https://maps.google.com/?cid=13424755497026509026,17,25.0126741,121.5356413
飲料/甜點,冰品,ChIJmRLFCoupQjQRoc6UGsh0-dI,以利泡泡冰,100台灣台北市中正區羅斯福路三段316巷8弄7號,02 2369 0690,3.5,null,https://maps.google.com/?cid=15202310419954060961,199,25.015485,121.532749
飲料/甜點,冰品,ChIJq98Fh9KpQjQR5Ppeb-q---8,基仔冰,100台灣台北市中正區羅斯福路三段286巷3號,null,5,null,https://maps.google.com/?cid=17292625108319271652,8,25.0160835,121.5324154
