place_id,chinese_name,pinyin
ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,miàn gōng fāng yì dà lì miàn gōng guǎn JR diàn 
ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,fèi sī dá xiāng cǎo yáng shí guǎn 
ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,fā xiàn yì dà lì miàn 
ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,zhuǎn zhuǎn fā xiàn yì dà lì miàn 
ChIJuyk2l4qpQjQRILRCQId5ZZA,義饗食堂,yì xiǎng shí táng 
ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,shǒu dū hōng bèi cān tīng - gōng guǎn diàn 
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,mì jìng xiǎo shí guāng / yì dà lì miàn / dùn fàn / pái cān / zǎo wǔ cān / shāng yè wǔ cān / wǔ wǎn cān / kā fēi guǎn | xià wǔ chá | chǎng dì zū jiè 
ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,pà tù 
ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,kuáng ài kā lī  Just Love Curry 
ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,sān shí wǔ kā lī wū 
ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,niú èr gē niú pái guǎn 
ChIJcZxRZB2pQjQRuahHVqB5oH0,威宇牛排 - 公館店,wēi yǔ niú pái  -  gōng guǎn diàn 
ChIJkyhZx4qpQjQRmedCjTZZmec,有間牛排,yǒu jiān niú pái 
ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,jīn niú zuò niú pái guǎn 
ChIJrfUpGjOpQjQRDnFOEvCTOlI,好吃好吃 2號店,hǎo chī hǎo chī  2 hào diàn 
ChIJ9Tlx4NSpQjQRz_IB3tkM0V4,孫東寶牛排大安羅斯福店,sūn dōng bǎo niú pái dà ān luó sī fú diàn 
ChIJldrqooqpQjQRl4bCVhVRvuI,龐德羅莎(台大店),páng dé luó shā ( tái dà diàn ) 
ChIJddB-FnOpQjQRtpaWgedVZPI,源士林粥品,yuán shì lín zhōu pǐn 
ChIJsxRQ5oupQjQRN_9HJB8OuEk,粥粥頌廣東粥專賣店,zhōu zhōu sòng guǎng dōng zhōu zhuān mài diàn 
ChIJa751qv-pQjQRNR7GmheM72U,滿粥穗 台北公館店,mǎn zhōu suì   tái běi gōng guǎn diàn 
ChIJm6NFboypQjQR-FXOgyKvjA4,Mr. 雪腐 公館店,Mr.  xuě fǔ   gōng guǎn diàn 
ChIJSZWZbwOpQjQRZ0I4u3wZZiY,旺來甜冰品-Wang Lai Ice Shop,wàng lái tián bīng pǐn -Wang Lai Ice Shop 
ChIJuaw9uIqpQjQR4ti8RP9PTro,綠屋冰城,lǜ wū bīng chéng 
ChIJmRLFCoupQjQRoc6UGsh0-dI,以利泡泡冰,yǐ lì pào pào bīng 
ChIJq98Fh9KpQjQR5Ppeb-q---8,基仔冰,jī zǎi bīng 
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,bō xǐ 
ChIJmVrVBoupQjQRbT6PhVBBGNc,鴉片粉圓,yā piàn fěn yuán 
ChIJv61btrmpQjQRCIQFTdbLQ38,墨潮青蛙撞奶,mò cháo qīng wā zhuàng nǎi 
ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,COMEBUY_ tái běi tīng zhōu diàn 
ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,kěn dīng dàn dàn ㄉㄨㄞ nǎi 
ChIJz-h4Q1GpQjQR6LHc8buGm28,五桐號Wootea 公館店,wǔ tóng hào Wootea  gōng guǎn diàn 
ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,dà xué kǒu lín lǎo bēi 
ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,xiǎo rì zi shāng 
ChIJnX29aompQjQR1Mz4z-ccjh4,好想吃冰 かき/日式蔬食 台大公館店（公館美食.公館素食.日式素食）,hǎo xiǎng chī bīng  かき/ rì shì shū shí   tái dà gōng guǎn diàn （ gōng guǎn měi shí . gōng guǎn sù shí . rì shì sù shí ） 
ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,dǎ gōu gōu - hòu qǐ shì yǐn pǐn zhuān mài diàn 
ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,chūn fāng hào tái běi gōng guǎn diàn 
ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,COMEBUY_ tái běi tīng zhōu diàn 
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,bō xǐ 
ChIJ29mNvoqpQjQReJyDJ4e1yfk,迷客夏milkshop 臺北公館店,mí kè xià milkshop  tái běi gōng guǎn diàn 
ChIJN6jRyYqpQjQRhOJRE7PsNQ0,十杯極致手作茶飲─公館店,shí bēi jí zhì shǒu zuò chá yǐn ─ gōng guǎn diàn 
ChIJCahvDoupQjQRFbdDBRrHOsY,COMEBUY_台北公館店,COMEBUY_ tái běi gōng guǎn diàn 
ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,yuán diǎn xiān qī chá 
ChIJZ1hI14WpQjQRWkCFEnfwUS4,凰上您好 手搖飲 Dear Queen Tea/公館飲料/公館手搖飲/台北飲料/公館珍珠奶茶/公館美食/公館冰品,huáng shàng nín hǎo   shǒu yáo yǐn  Dear Queen Tea/ gōng guǎn yǐn liào / gōng guǎn shǒu yáo yǐn / tái běi yǐn liào / gōng guǎn zhēn zhū nǎi chá / gōng guǎn měi shí / gōng guǎn bīng pǐn 
ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,chūn fāng hào tái běi gōng guǎn diàn 
ChIJSS8omoupQjQR7w9gCacg0EY,茶湯會 台北公館店 (台大),chá tāng huì   tái běi gōng guǎn diàn  ( tái dà ) 
ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,dǎ gōu gōu - hòu qǐ shì yǐn pǐn zhuān mài diàn 
ChIJp1wkXi-pQjQRfu3yyNjKXew,日日裝茶公館台大店,rì rì zhuāng chá gōng guǎn tái dà diàn 
ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,xiǎo rì zi shāng 
ChIJ1V2JefKpQjQRDyl0SimHxkc,甘蔗の媽媽-台北公館店,gān zhè の mā mā - tái běi gōng guǎn diàn 
ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,kěn dīng dàn dàn ㄉㄨㄞ nǎi 
ChIJQVWymYupQjQR9l0jcfyF15I,巴伯Q奶Bubble tea黑糖珍珠牛奶專賣店,bā bó Q nǎi Bubble tea hēi táng zhēn zhū niú nǎi zhuān mài diàn 
ChIJrbuKz0upQjQR0VqDFHphxTA,老賴茶棧台北公館店,lǎo lài chá zhàn tái běi gōng guǎn diàn 
ChIJEat10q-pQjQRrji2jzlzzQE,麻古茶坊台北公館店,má gǔ chá fāng tái běi gōng guǎn diàn 
ChIJQ_OhEIupQjQRaZOebBWucbE,50嵐 公館店,50 lán   gōng guǎn diàn 
ChIJGSZSEbmpQjQRaeA4PyFdxRo,龜記茗品-公館店,guī jì míng pǐn - gōng guǎn diàn 
ChIJL2Nx_oupQjQRlWJhhBrhDvE,樂法Le Phare 羅斯福店,lè fǎ Le Phare  luó sī fú diàn 
ChIJ366xIcOpQjQRYmVdYm8CGuU,東雛菊-風味鍋物,dōng chú jú - fēng wèi guō wù 
ChIJoQttyYqpQjQRrPcR8IE0dv0,鍋in百元風味火鍋,guō in bǎi yuán fēng wèi huǒ guō 
ChIJycu5coupQjQRl9dmANfpHuw,馬辣頂級麻辣鴛鴦火鍋,mǎ là dǐng jí má là yuān yāng huǒ guō 
ChIJNWgFu9CpQjQR_h2HPTQDaNc,鼎豐鴛鴦麻辣火鍋,dǐng fēng yuān yāng má là huǒ guō 
ChIJp4DmtIqpQjQRMc1gEd_aAS4,新馬辣經典麻辣鍋-公館店,xīn mǎ là jīng diǎn má là guō - gōng guǎn diàn 
ChIJnShfDYupQjQReJ7ZY2HhzOA,東吉水產超市火鍋-公館店,dōng jí shuǐ chǎn chāo shì huǒ guō - gōng guǎn diàn 
ChIJNd8zTBapQjQRpnuBM8A1Nm4,和牛涮樂日式涮涮鍋-公館店,hé niú shuàn lè rì shì shuàn shuàn guō - gōng guǎn diàn 
ChIJkVHJ1PWpQjQRuN_c0G1T8qQ,12MINI經典即享鍋-捷運公館店,12MINI jīng diǎn jí xiǎng guō - jié yùn gōng guǎn diàn 
ChIJV8k7QBGoQjQRqIO19mBwWNY,無鍋不樂,wú guō bù lè 
ChIJH_rf5YqpQjQRdh858sDgK8M,玉米妹煎餃,yù mǐ mèi jiān jiǎo 
ChIJQWnpmYupQjQRbOovXFzE1CQ,鮮肉水餃,xiān ròu shuǐ jiǎo 
ChIJoVQ9-oqpQjQRuuracm_WZtw,陳師傅全麥手工水餃,chén shī fù quán mài shǒu gōng shuǐ jiǎo 
ChIJUdix0o-pQjQRTNfqm-IQpFM,豪季水餃專賣店,háo jì shuǐ jiǎo zhuān mài diàn 
ChIJe_MK3oupQjQRnzZoMhH5lqs,八方雲集 (台大店),bā fāng yún jí  ( tái dà diàn ) 
ChIJjde4khmpQjQR2RF_gS7wxDU,台大大滷麵水餃,tái dà dà lǔ miàn shuǐ jiǎo 
ChIJxb2CKIypQjQReZRS5toPtic,楓苑食坊,fēng yuàn shí fāng 
ChIJn-PI4IqpQjQR5UdxyijFBJs,蕭家傳統小吃,xiāo jiā chuán tǒng xiǎo chī 
ChIJYfsXxYqpQjQRZPA4G0w3M0Y,公館小吃店,gōng guǎn xiǎo chī diàn 
ChIJ6ZdQkYupQjQRWrgEjcLMIH0,台南意麵※羊肉乾麵,tái nán yì miàn ※ yáng ròu qián miàn 
ChIJzVr3l4upQjQRHTNqYkEgR40,藍家割包,lán jiā gē bāo 
ChIJpzBnmROpQjQRvWv0MnikG_U,胡饕米粉湯‧黑白切(台大公館店)-銅板小吃 學生美食 便當外送(平價人氣必吃推薦),hú tāo mǐ fěn tāng ‧ hēi bái qiè ( tái dà gōng guǎn diàn )- tóng bǎn xiǎo chī   xué shēng měi shí   biàn dāng wài sòng ( píng jià rén qì bì chī tuī jiàn ) 
ChIJT0pZeoupQjQRwI-GLzd8anA,阿姨小吃,ā yí xiǎo chī 
ChIJ_fgu74qpQjQRup_fjb1ntWE,祥記號美食小吃,xiáng jì hào měi shí xiǎo chī 
ChIJ1bPhwYqpQjQR70q_ZNQB_0Y,泰風味小吃店,tài fēng wèi xiǎo chī diàn 
ChIJw9DD6IqpQjQRsdFH1jKu9RA,越南小吃,yuè nán xiǎo chī 
ChIJ0Svl4YqpQjQRXuxuaWVpUHE,佳興福州魚丸店,jiā xìng fú zhōu yú wán diàn 
ChIJZwBEwoqpQjQR03u0Qvnj9zg,劉記古早味蔥蛋餅蜜地瓜,liú jì gǔ zǎo wèi cōng dàn bǐng mì dì guā 
ChIJuQYlDIupQjQRTePyZpJvZ_U,珍記豬血糕,zhēn jì zhū xuè gāo 
ChIJRVYUoYupQjQRjjrI_CDS0SQ,香港泉記小吃館,xiāng gǎng quán jì xiǎo chī guǎn 
ChIJLWeCx4qpQjQRTJ-ObcN700g,小李豬血糕,xiǎo lǐ zhū xuè gāo 
ChIJ5zYUBYupQjQRcfnnGtSorNs,得記麻辣脆皮臭豆腐,dé jì má là cuì pí chòu dòu fǔ 
ChIJD5QDLh6qQjQRTebziM2ASrk,NO68小吃館,NO68 xiǎo chī guǎn 
ChIJ4_gu74qpQjQRSEOje3P3-mE,水源食坊-不一樣炒飯,shuǐ yuán shí fāng - bù yī yàng chǎo fàn 
ChIJ3dDD6IqpQjQRucuudqWtJoM,狠台 台式炒飯炒麵,hěn tái   tái shì chǎo fàn chǎo miàn 
ChIJjRUEDg-pQjQRsOnRPfyaji4,油夠飯濺 炒飯店,yóu gòu fàn jiàn   chǎo fàn diàn 
ChIJ_fgu74qpQjQRSOvT-G7mkdI,龍記炒燴,lóng jì chǎo huì 
ChIJRVYUoYupQjQRjjrI_CDS0SQ,香港泉記小吃館,xiāng gǎng quán jì xiǎo chī guǎn 
ChIJ_fgu74qpQjQRup_fjb1ntWE,祥記號美食小吃,xiáng jì hào měi shí xiǎo chī 
ChIJySfUe4ypQjQRgoVeUgYjZrI,香鄉麵食館,xiāng xiāng miàn shí guǎn 
ChIJ2y44g4upQjQRUyE9HmNk1ZY,香港亨記(公館店),xiāng gǎng hēng jì ( gōng guǎn diàn ) 
