general_type,specific_type,place_id,店名,periods,weekday_text,Mon,Tues,Wed,Thur,Fri,Sat,Sun
西式/美式,義大利麵,ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1630'}}, {'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1630'}}]","['星期一: 11:30 – 15:00, 17:00 – 20:30', '星期二: 11:30 – 15:00, 17:00 – 20:30', '星期三: 11:30 – 15:00, 17:00 – 20:30', '星期四: 11:30 – 15:00, 17:00 – 20:30', '星期五: 11:30 – 15:00, 17:00 – 20:30', '星期六: 11:30 – 15:00, 16:30 – 20:30', '星期日: 11:30 – 15:00, 16:30 – 20:30']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 64, 61, 35, 0, 0, 50, 73, 65, 36, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 47, 48, 20, 0, 0, 24, 54, 61, 34, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 57, 41, 7, 0, 0, 35, 68, 70, 39, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 31, 21, 0, 0, 35, 65, 62, 30, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 41, 48, 26, 0, 0, 43, 75, 78, 49, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 100, 85, 21, 0, 16, 53, 92, 83, 39, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 68, 74, 36, 0, 18, 57, 92, 76, 32, 0, 0, 0]"
西式/美式,義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,"[{'close': {'day': 0, 'time': '1430'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1730'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1730'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1730'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1730'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1730'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1730'}}, {'close': {'day': 6, 'time': '1430'}, 'open': {'day': 6, 'time': '1200'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1730'}}]","['星期一: 12:00 – 14:30, 17:30 – 21:30', '星期二: 12:00 – 14:30, 17:30 – 21:30', '星期三: 12:00 – 14:30, 17:30 – 21:30', '星期四: 12:00 – 14:30, 17:30 – 21:30', '星期五: 12:00 – 14:30, 17:30 – 21:30', '星期六: 12:00 – 14:30, 17:30 – 21:30', '星期日: 12:00 – 14:30, 17:30 – 21:30']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 52, 28, 0, 0, 39, 57, 56, 36, 15, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 30, 18, 0, 0, 35, 87, 100, 52, 11, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 30, 22, 0, 0, 15, 64, 97, 52, 8, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 57, 26, 0, 0, 36, 73, 70, 32, 5, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 74, 35, 0, 0, 39, 64, 69, 47, 21, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 76, 43, 0, 0, 42, 80, 88, 57, 19, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 90, 32, 0, 0, 35, 64, 73, 46, 16, 0, 0]"
西式/美式,義大利麵,ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 – 14:30, 17:00 – 21:00', '星期二: 11:00 – 14:30, 17:00 – 21:00', '星期三: 11:00 – 14:30, 17:00 – 21:00', '星期四: 11:00 – 14:30, 17:00 – 21:00', '星期五: 11:00 – 14:30, 17:00 – 21:00', '星期六: 11:00 – 21:00', '星期日: 11:00 – 21:00']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 44, 22, 4, 0, 0, 23, 41, 40, 22, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 37, 20, 4, 0, 0, 32, 49, 45, 25, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 71, 53, 11, 0, 0, 30, 45, 41, 22, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 45, 42, 20, 0, 0, 29, 50, 56, 44, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34, 38, 14, 0, 0, 16, 37, 39, 17, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 64, 75, 47, 20, 25, 52, 73, 65, 37, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 91, 85, 41, 19, 39, 81, 100, 71, 29, 0, 0, 0]"
西式/美式,義大利麵,ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 – 14:30, 17:00 – 21:00', '星期二: 11:00 – 14:30, 17:00 – 21:00', '星期三: 11:00 – 14:30, 17:00 – 21:00', '星期四: 11:00 – 14:30, 17:00 – 21:00', '星期五: 11:00 – 14:30, 17:00 – 21:00', '星期六: 11:00 – 21:00', '星期日: 11:00 – 21:00']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 22, 6, 0, 0, 38, 52, 26, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53, 2, 0, 0, 0, 17, 20, 8, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44, 33, 4, 0, 0, 11, 18, 15, 5, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 100, 1, 0, 0, 18, 27, 12, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 15, 1, 0, 0, 6, 22, 20, 5, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 41, 18, 10, 17, 26, 30, 26, 18, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 56, 61, 38, 16, 17, 34, 41, 26, 9, 0, 0, 0]"
西式/美式,義大利麵,ChIJuyk2l4qpQjQRILRCQId5ZZA,義饗食堂,"[{'close': {'day': 0, 'time': '1300'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 0, 'time': '1530'}, 'open': {'day': 0, 'time': '1315'}}, {'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '1300'}, 'open': {'day': 6, 'time': '1100'}}, {'close': {'day': 6, 'time': '1530'}, 'open': {'day': 6, 'time': '1315'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1800'}}]","['星期一: 12:00 – 14:30, 18:00 – 21:30', '星期二: 12:00 – 14:30, 18:00 – 21:30', '星期三: 12:00 – 14:30, 18:00 – 21:30', '星期四: 12:00 – 14:30, 18:00 – 21:30', '星期五: 12:00 – 14:30, 18:00 – 21:30', '星期六: 11:00 – 13:00, 13:15 – 15:30, 18:00 – 21:30', '星期日: 11:00 – 13:00, 13:15 – 15:30, 18:00 – 21:30']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 89, 45, 0, 0, 0, 32, 41, 25, 7, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 80, 39, 0, 0, 0, 30, 50, 35, 10, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 76, 35, 0, 0, 0, 34, 52, 45, 22, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 81, 47, 0, 0, 0, 53, 65, 48, 22, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 100, 48, 0, 0, 0, 29, 34, 27, 15, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 85, 82, 52, 23, 0, 0, 63, 78, 54, 20, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 91, 88, 55, 24, 0, 0, 42, 39, 20, 6, 0, 0]"
西式/美式,義大利麵,ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 11:00 – 22:00', '星期二: 11:00 – 22:00', '星期三: 11:00 – 22:00', '星期四: 11:00 – 22:00', '星期五: 11:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 51, 64, 49, 29, 26, 36, 44, 41, 29, 15, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 57, 66, 61, 46, 34, 31, 35, 33, 23, 10, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 57, 43, 30, 32, 37, 38, 36, 30, 22, 14, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 55, 63, 57, 46, 40, 41, 41, 36, 24, 12, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 64, 63, 69, 45, 21, 30, 46, 52, 43, 26, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 49, 75, 84, 76, 62, 61, 69, 76, 72, 56, 37, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 49, 85, 100, 82, 60, 55, 63, 65, 53, 34, 15, 0, 0]"
西式/美式,義大利麵,ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 休息', '星期二: 10:00 – 21:00', '星期三: 10:00 – 21:00', '星期四: 10:00 – 21:00', '星期五: 10:00 – 21:00', '星期六: 10:00 – 21:00', '星期日: 10:00 – 21:00']",null,null,null,null,null,null,null
西式/美式,義大利麵,ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,"[{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}]","['星期一: 08:00 – 19:00', '星期二: 08:00 – 19:00', '星期三: 08:00 – 19:00', '星期四: 08:00 – 19:00', '星期五: 08:00 – 19:00', '星期六: 休息', '星期日: 休息']","[0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 57, 65, 83, 80, 56, 45, 43, 30, 12, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 31, 48, 49, 60, 88, 100, 76, 51, 45, 38, 23, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 27, 51, 70, 76, 70, 65, 62, 56, 47, 35, 22, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 23, 44, 65, 84, 82, 58, 41, 42, 44, 31, 14, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 22, 42, 63, 75, 74, 63, 55, 51, 47, 32, 17, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
日式料理,咖哩,ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 – 22:00', '星期二: 11:00 – 22:00', '星期三: 11:00 – 22:00', '星期四: 11:00 – 22:00', '星期五: 11:00 – 22:00', '星期六: 11:00 – 22:00', '星期日: 11:00 – 22:00']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 90, 52, 4, 1, 1, 9, 33, 51, 36, 11, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 55, 38, 10, 1, 0, 14, 25, 13, 17, 11, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 57, 40, 8, 1, 2, 15, 32, 33, 18, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52, 49, 8, 1, 7, 23, 36, 30, 13, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 61, 36, 4, 1, 1, 8, 27, 43, 37, 18, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61, 100, 48, 5, 1, 9, 29, 41, 29, 9, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 52, 61, 45, 22, 16, 31, 45, 37, 16, 3, 0, 0]"
日式料理,咖哩,ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,"[{'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1100'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1600'}}]","['星期一: 休息', '星期二: 11:00 – 14:00, 16:00 – 18:00', '星期三: 11:00 – 14:00, 16:00 – 18:00', '星期四: 11:00 – 14:00, 16:00 – 18:00', '星期五: 11:00 – 14:00, 16:00 – 18:00', '星期六: 11:00 – 14:00, 16:00 – 18:00', '星期日: 休息']",null,null,null,null,null,null,null
