place_id,name,IG_link,img_source
ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,https://www.instagram.com/explore/locations/1463682/,https://www.instagram.com/p/B8kpMyxDUN1/
ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,https://www.instagram.com/explore/locations/1939270243010789/freestyle/,https://www.instagram.com/p/CCGaJI7M-07/
ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,https://www.instagram.com/explore/locations/1463682/,https://www.instagram.com/p/B8kpMyxDUN1/
ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,https://www.instagram.com/explore/locations/121938724579724/-/,https://www.instagram.com/p/CHm4bV0nG2C/
ChIJuyk2l4qpQjQRILRCQId5ZZA,義饗食堂,https://www.instagram.com/explore/locations/192788921272350/just-italian/,https://www.instagram.com/p/BttTSqZDKDO/
ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,None,None
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,null,None
ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,null,None
ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,https://www.instagram.com/explore/locations/547856668/just-love-curry-_/,https://www.instagram.com/p/BpDwMNSl7KN/
ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,https://www.instagram.com/explore/locations/330501357/,https://www.instagram.com/p/B6DOwiun2X1/
ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,https://www.instagram.com/explore/locations/1803563946411885/,https://www.instagram.com/p/CIaekb8p9l_/
ChIJcZxRZB2pQjQRuahHVqB5oH0,威宇牛排 - 公館店,https://www.instagram.com/explore/locations/1581137442152420/,https://www.instagram.com/p/B4fHJF8DeKL/
ChIJkyhZx4qpQjQRmedCjTZZmec,有間牛排,https://www.instagram.com/explore/locations/104228197757514/,https://www.instagram.com/p/CECAL7OjsWx/
ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,https://www.instagram.com/explore/locations/253555611/,https://www.instagram.com/p/BxKYJfonIk-/
ChIJrfUpGjOpQjQRDnFOEvCTOlI,好吃好吃 2號店,https://www.instagram.com/explore/locations/1219117808215236/yumyum-1/,https://www.instagram.com/p/BzSuPTkHX2X/
ChIJ9Tlx4NSpQjQRz_IB3tkM0V4,孫東寶牛排大安羅斯福店,https://www.instagram.com/explore/locations/324480524999069/,https://www.instagram.com/p/BtOHGuXnUGQ/
ChIJldrqooqpQjQRl4bCVhVRvuI,龐德羅莎(台大店),https://www.instagram.com/explore/locations/265691176/,https://www.instagram.com/p/ByIgUqaH0q8/
ChIJddB-FnOpQjQRtpaWgedVZPI,源士林粥品,https://www.instagram.com/explore/locations/470639285/,https://www.instagram.com/p/B4uGXaYnE20/
ChIJsxRQ5oupQjQRN_9HJB8OuEk,粥粥頌廣東粥專賣店,https://www.instagram.com/explore/locations/903718139/,https://www.instagram.com/p/BchYX22HRJT/
ChIJa751qv-pQjQRNR7GmheM72U,滿粥穗 台北公館店,null,None
ChIJm6NFboypQjQR-FXOgyKvjA4,Mr. 雪腐 公館店,https://www.instagram.com/explore/locations/129964274267114/mr/,https://www.instagram.com/p/B0AMo63jofh/
ChIJSZWZbwOpQjQRZ0I4u3wZZiY,旺來甜冰品-Wang Lai Ice Shop,null,None
ChIJuaw9uIqpQjQR4ti8RP9PTro,綠屋冰城,null,None
ChIJmRLFCoupQjQRoc6UGsh0-dI,以利泡泡冰,https://www.instagram.com/explore/locations/1872736/taiwan-yili-paopao-ice/,https://www.instagram.com/p/CGr9wKRnMsW/
ChIJq98Fh9KpQjQR5Ppeb-q---8,基仔冰,https://www.instagram.com/explore/locations/242034099947261/corgicelolly/,https://www.instagram.com/p/CB2GI01J-97/
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,https://www.instagram.com/explore/locations/981009132/,https://www.instagram.com/p/Bm-lLbHHJ5V/
ChIJmVrVBoupQjQRbT6PhVBBGNc,鴉片粉圓,https://www.instagram.com/explore/locations/254560257/,https://www.instagram.com/p/BoLSWExhK60/
ChIJv61btrmpQjQRCIQFTdbLQ38,墨潮青蛙撞奶,null,None
ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,null,None
ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,https://www.instagram.com/explore/locations/3754081/,https://www.instagram.com/p/BituNChBdOt/
ChIJz-h4Q1GpQjQR6LHc8buGm28,五桐號Wootea 公館店,https://www.instagram.com/explore/locations/123530159427986/wootea/,https://www.instagram.com/p/CIxtoezjHyJ/
ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,null,None
ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,https://www.instagram.com/explore/locations/1260121653999566/,https://www.instagram.com/p/BbeiAMyDKMG/
ChIJnX29aompQjQR1Mz4z-ccjh4,好想吃冰 かき/日式蔬食 台大公館店（公館美食.公館素食.日式素食）,https://www.instagram.com/explore/locations/209140569688057/-/,https://www.instagram.com/p/CAC3o80jRx-/
ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,https://www.instagram.com/explore/locations/103746637162539/,https://www.instagram.com/p/BoLNYOwFC70/
ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,https://www.instagram.com/explore/locations/114193180013762/-/,https://www.instagram.com/p/B448jAzjX_P/
ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,null,None
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,https://www.instagram.com/explore/locations/981009132/,https://www.instagram.com/p/Bm-lLbHHJ5V/
ChIJ29mNvoqpQjQReJyDJ4e1yfk,迷客夏milkshop 臺北公館店,https://www.instagram.com/explore/locations/716693382/,https://www.instagram.com/p/CILSCLOH4FU/
ChIJN6jRyYqpQjQRhOJRE7PsNQ0,十杯極致手作茶飲─公館店,https://www.instagram.com/explore/locations/1182525055148847/-/,https://www.instagram.com/p/BYP96c0BkVM/
ChIJCahvDoupQjQRFbdDBRrHOsY,COMEBUY_台北公館店,null,None
ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,null,None
ChIJZ1hI14WpQjQRWkCFEnfwUS4,凰上您好 手搖飲 Dear Queen Tea/公館飲料/公館手搖飲/台北飲料/公館珍珠奶茶/公館美食/公館冰品,null,None
ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,https://www.instagram.com/explore/locations/114193180013762/-/,https://www.instagram.com/p/B4wvznypSxN/
ChIJSS8omoupQjQR7w9gCacg0EY,茶湯會 台北公館店 (台大),https://www.instagram.com/explore/locations/914682603/,https://www.instagram.com/p/BathAVrlkWE/
ChIJS9Pk5m-pQjQRDIfh2Zw9AXQ,打勾勾-厚起士飲品專賣店,https://www.instagram.com/explore/locations/103746637162539/,https://www.instagram.com/p/BoLNYOwFC70/
ChIJp1wkXi-pQjQRfu3yyNjKXew,日日裝茶公館台大店,null,None
ChIJ256qHIupQjQR-DzzG-OGC5Y,小日子商,https://www.instagram.com/explore/locations/1260121653999566/,https://www.instagram.com/p/BsxT1JCB5SL/
ChIJ1V2JefKpQjQRDyl0SimHxkc,甘蔗の媽媽-台北公館店,https://www.instagram.com/explore/locations/213124142683195/-/,https://www.instagram.com/p/CAdFj-kBDx9/
ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,https://www.instagram.com/explore/locations/3754081/,https://www.instagram.com/p/BituNChBdOt/
ChIJQVWymYupQjQR9l0jcfyF15I,巴伯Q奶Bubble tea黑糖珍珠牛奶專賣店,null,None
ChIJrbuKz0upQjQR0VqDFHphxTA,老賴茶棧台北公館店,https://www.instagram.com/explore/locations/286812121362003/,https://www.instagram.com/p/BZnp1wTA_GX/
ChIJEat10q-pQjQRrji2jzlzzQE,麻古茶坊台北公館店,https://www.instagram.com/explore/locations/341755106686977/macu/,https://www.instagram.com/p/B_M_m9HFgua/
ChIJQ_OhEIupQjQRaZOebBWucbE,50嵐 公館店,https://www.instagram.com/explore/locations/858067/50/,None
ChIJGSZSEbmpQjQRaeA4PyFdxRo,龜記茗品-公館店,https://www.instagram.com/explore/locations/115370806496817/-/,https://www.instagram.com/p/B9O1NUgHM6O/
ChIJL2Nx_oupQjQRlWJhhBrhDvE,樂法Le Phare 羅斯福店,https://www.instagram.com/explore/locations/1524978231133033/le-phare/,None
ChIJ366xIcOpQjQRYmVdYm8CGuU,東雛菊-風味鍋物,https://www.instagram.com/explore/locations/104047541094889/-/,None
ChIJoQttyYqpQjQRrPcR8IE0dv0,鍋in百元風味火鍋,https://www.instagram.com/explore/locations/1766997693607250/in-/,None
ChIJycu5coupQjQRl9dmANfpHuw,馬辣頂級麻辣鴛鴦火鍋,https://www.instagram.com/explore/locations/1988329491395178/,https://www.instagram.com/p/BtCxaqnHLQD/
ChIJNWgFu9CpQjQR_h2HPTQDaNc,鼎豐鴛鴦麻辣火鍋,https://www.instagram.com/explore/locations/2437698486301309/,https://www.instagram.com/p/B35yRzQHjdE/
ChIJp4DmtIqpQjQRMc1gEd_aAS4,新馬辣經典麻辣鍋-公館店,https://www.instagram.com/explore/locations/186601732239543/,https://www.instagram.com/p/BwcGxqlnPAt/
ChIJnShfDYupQjQReJ7ZY2HhzOA,東吉水產超市火鍋-公館店,https://www.instagram.com/explore/locations/415461372353894/,https://www.instagram.com/p/CB8PLNrJcMe/
ChIJNd8zTBapQjQRpnuBM8A1Nm4,和牛涮樂日式涮涮鍋-公館店,null,None
ChIJkVHJ1PWpQjQRuN_c0G1T8qQ,12MINI經典即享鍋-捷運公館店,https://www.instagram.com/explore/locations/2227995897530926/12mini/,https://www.instagram.com/p/Bzs1bY8j8PZ/
ChIJV8k7QBGoQjQRqIO19mBwWNY,無鍋不樂,https://www.instagram.com/explore/locations/1003936343008894/,https://www.instagram.com/p/B-mYxa8n-EG/
ChIJH_rf5YqpQjQRdh858sDgK8M,玉米妹煎餃,null,None
ChIJQWnpmYupQjQRbOovXFzE1CQ,鮮肉水餃,null,None
ChIJoVQ9-oqpQjQRuuracm_WZtw,陳師傅全麥手工水餃,null,None
ChIJUdix0o-pQjQRTNfqm-IQpFM,豪季水餃專賣店,https://www.instagram.com/explore/locations/239325775/,https://www.instagram.com/p/BjJfzCIhvL8/
ChIJe_MK3oupQjQRnzZoMhH5lqs,八方雲集 (台大店),https://www.instagram.com/explore/locations/2167981/,https://www.instagram.com/p/B_T-Zj6jFNE/
ChIJjde4khmpQjQR2RF_gS7wxDU,台大大滷麵水餃,null,None
ChIJxb2CKIypQjQReZRS5toPtic,楓苑食坊,null,None
ChIJn-PI4IqpQjQR5UdxyijFBJs,蕭家傳統小吃,null,None
ChIJYfsXxYqpQjQRZPA4G0w3M0Y,公館小吃店,null,None
ChIJ6ZdQkYupQjQRWrgEjcLMIH0,台南意麵※羊肉乾麵,null,None
ChIJzVr3l4upQjQRHTNqYkEgR40,藍家割包,https://www.instagram.com/explore/locations/136695/,https://www.instagram.com/p/B9wlvmBDPc-/
ChIJpzBnmROpQjQRvWv0MnikG_U,胡饕米粉湯‧黑白切(台大公館店)-銅板小吃 學生美食 便當外送(平價人氣必吃推薦),null,None
