place_id,name,IG_link,img_source
ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,https://www.instagram.com/explore/locations/245832852/titian-pasta/,https://www.instagram.com/p/BwbticZhRP6/
ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,https://www.instagram.com/explore/locations/1463682/,https://www.instagram.com/p/B8kpMyxDUN1/
ChIJtde7A4mpQjQR3cag3SFcF7c,蘇活義大利麵坊,https://www.instagram.com/explore/locations/255988177/,https://www.instagram.com/p/BpMzGBjAdzU/
ChIJr8nKUo6pQjQRaGxnl2ugufE,義麵館,https://www.instagram.com/explore/locations/256124655/,None
ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,https://www.instagram.com/explore/locations/1463682/,https://www.instagram.com/p/B8kpMyxDUN1/
ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,https://www.instagram.com/explore/locations/1939270243010789/freestyle/,https://www.instagram.com/p/CCGaJI7M-07/
ChIJR6Fki4WpQjQRTm7OtKYv3hY,Libert自由義式廚房師大店,null,None
ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,https://www.instagram.com/explore/locations/121938724579724/-/,https://www.instagram.com/p/CHm4bV0nG2C/
ChIJl-sBDI-pQjQRuAvhyCfLSGU,佬披薩LAPIZZAitalian,null,None
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,null,None
ChIJNXGKfI-pQjQREYi3qrSEcM8,新天堂義大利廚房,https://www.instagram.com/explore/locations/244347787/pasta-paradiso/,https://www.instagram.com/p/B3xBz5PAEXg/
ChIJn2WTm4-pQjQRRGJXeooRB-4,瑪琪朵義式廚房,null,None
ChIJNfAt5MSrQjQR-Z8NpMSCkjk,POST霞飛驛歐法點餐,https://www.instagram.com/explore/locations/314041953/,None
ChIJXbirD4mpQjQRIaUprnvvILw,Pasta 2 Go,https://www.instagram.com/explore/locations/498127042/pasta-2-go/,https://www.instagram.com/p/CHpoi2Rsk7t/
ChIJswp0NJCpQjQRXCIZhrkhW7E,MiSTA House,https://www.instagram.com/explore/locations/215277402238530/mista-house/,https://www.instagram.com/p/CCOmQj5gi9C/
ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,https://www.instagram.com/explore/locations/1186446371400955/pastatoast/,https://www.instagram.com/p/BjeRxdNgcTA/
ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,https://www.instagram.com/explore/locations/547856668/just-love-curry-_/,https://www.instagram.com/p/BpDwMNSl7KN/
ChIJq4CrE4mpQjQRJPnkytgaWVI,稻咖哩,https://www.instagram.com/explore/locations/1964263537163385/,https://www.instagram.com/p/B8RPm6RDIHR/
ChIJYW1dk-upQjQRbFzQRmjRGLQ,寶貝咖哩 Treasure Curry 日本湯咖哩,null,None
ChIJB1avwF2pQjQRKfuOW99lGHY,NoName無名咖哩 台大店,https://www.instagram.com/explore/locations/413905682667319/noname/,https://www.instagram.com/p/B1bXJc_jFxW/
ChIJb95duVepQjQR9Px18Q2_3aM,咖哩杯杯,https://www.instagram.com/explore/locations/113832600465124/,https://www.instagram.com/p/CFeEfKKgcb_/
ChIJMd7HkIWpQjQRxsZTwf1HrwQ,正宗馬來西亞咖哩雞飯,https://www.instagram.com/explore/locations/263671922/,https://www.instagram.com/p/B7looJEFP3R/
ChIJO4lhio-pQjQRfksW7DahqLs,銀兔湯咖哩--特色必吃湯咖哩推薦 日式湯咖哩 日式料理餐廳 師大人氣美食 咖哩 古亭台電大樓捷運站附近美食餐廳,null,None
ChIJpcsW-IipQjQR7Fv0jfqck_E,公館-咖哩先生,https://www.instagram.com/explore/locations/68284/,None
ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,https://www.instagram.com/explore/locations/330501357/,https://www.instagram.com/p/B6DOwiun2X1/
ChIJ0ecXFh6pQjQRHseNTyDDdog,小丘chiu巢咖哩,null,None
ChIJO4lhio-pQjQR2Vl2-rAuw30,湯咖哩,https://www.instagram.com/explore/locations/483023715225186/,https://www.instagram.com/p/ByC3TEyjuhY/
ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,https://www.instagram.com/explore/locations/253555611/,https://www.instagram.com/p/BxKYJfonIk-/
ChIJC_TnkYWpQjQRhxW2l17CRdc,牛魔王牛排,https://www.instagram.com/explore/locations/458129778/,None
ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,https://www.instagram.com/explore/locations/1803563946411885/,https://www.instagram.com/p/CIaekb8p9l_/
