general_type,specific_type,place_id,店名,地址,電話,評分,價位,連結,評價數,緯度,經度
西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,106台灣台北市大安區泰順街48-2號,02 2366 1385,4.1,null,https://maps.google.com/?cid=7701738725490689166,436,25.023048,121.5311584
西式/美式,義大利麵,ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,100台灣台北市中正區羅斯福路三段282號1樓,02 2368 7767,3.8,null,https://maps.google.com/?cid=2503822803273523485,401,25.0164986,121.5321045
西式/美式,義大利麵,ChIJtde7A4mpQjQR3cag3SFcF7c,蘇活義大利麵坊,106台灣台北市大安區新生南路三段60巷3號,02 3365 3208,4.2,null,https://maps.google.com/?cid=13193114933927134941,585,25.0201304,121.5335261
西式/美式,義大利麵,ChIJr8nKUo6pQjQRaGxnl2ugufE,義麵館,106台灣台北市大安區師大路126巷7號,02 2364 1512,3.9,null,https://maps.google.com/?cid=17418129417794186344,93,25.0217016,121.527818
西式/美式,義大利麵,ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,106台灣台北市大安區新生南路三段86巷6號,02 2367 3721,3.6,null,https://maps.google.com/?cid=5879462888577126547,752,25.0188889,121.5330556
西式/美式,義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,100台灣台北市中正區羅斯福路三段316巷8弄14號,02 2365 0065,3.5,null,https://maps.google.com/?cid=15809970159831823116,238,25.0152586,121.5326362
西式/美式,義大利麵,ChIJR6Fki4WpQjQRTm7OtKYv3hY,Libert自由義式廚房師大店,106台灣台北市大安區溫州街22巷旁號號 11號(泰順街35,02 3365 3439,4.3,null,https://maps.google.com/?cid=1647806906708684366,573,25.0237919,121.5314196
西式/美式,義大利麵,ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,106台灣台北市大安區新生南路三段86巷6號,02 2367 3721,3.1,null,https://maps.google.com/?cid=6578111792483500997,63,25.0188155,121.5331111
西式/美式,義大利麵,ChIJl-sBDI-pQjQRuAvhyCfLSGU,佬披薩LAPIZZAitalian,106台灣台北市大安區師大路105巷8號,02 2364 5822,4.1,null,https://maps.google.com/?cid=7298306567888243640,537,25.022469,121.528811
西式/美式,義大利麵,ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,106台灣台北市大安區羅斯福路三段283巷3號,02 3365 1995,4.2,null,https://maps.google.com/?cid=15167680852479366162,208,25.0182077,121.5315075
西式/美式,義大利麵,ChIJNXGKfI-pQjQREYi3qrSEcM8,新天堂義大利廚房,106台灣台北市大安區師大路59巷8號,02 2362 6641,4.4,null,https://maps.google.com/?cid=14947593074735810577,425,25.023824,121.528973
西式/美式,義大利麵,ChIJn2WTm4-pQjQRRGJXeooRB-4,瑪琪朵義式廚房,106台灣台北市大安區師大路80巷1之1號,02 2363 8060,3.5,null,https://maps.google.com/?cid=17151696992319529540,71,25.0233662,121.5280592
西式/美式,義大利麵,ChIJNfAt5MSrQjQR-Z8NpMSCkjk,POST霞飛驛歐法點餐,106台灣台北市大安區新生南路三段60巷8號,02 2363 3663,4.2,null,https://maps.google.com/?cid=4148521987839205369,822,25.0200278,121.5334694
西式/美式,義大利麵,ChIJXbirD4mpQjQRIaUprnvvILw,Pasta 2 Go,106台灣台北市大安區新生南路三段72號,0900 235 486,4.3,null,https://maps.google.com/?cid=13556098192867173665,357,25.0193981,121.5335754
西式/美式,義大利麵,ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,100台灣台北市中正區羅斯福路三段284巷12號1樓,02 2368 2681,4,null,https://maps.google.com/?cid=7453385719502267999,437,25.015906,121.531735
西式/美式,義大利麵,ChIJswp0NJCpQjQRXCIZhrkhW7E,MiSTA House,100台灣台北市中正區金門街7-1號,02 2367 7507,4.5,null,https://maps.google.com/?cid=12779845448296374876,167,25.0227658,121.5244424
西式/美式,義大利麵,ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,106台灣台北市大安區學府里,02 2362 7055,4.3,null,https://maps.google.com/?cid=7430540869609708512,19,25.0154949,121.5369399
