西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,"從大學吃到現在的優質好店，麵條彈牙不死硬，調味配料都很新鮮美味；非常感謝老闆娘香香阿姨還特別有做吃素的餐點，最愛素食咖喱/奶汁菌菇、素食玻璃麵。

吃完麵後剩下的湯汁拿去沾剛烤好的吐司，一面有可口的調味搭配上另一面酥脆的口感，堪稱完美空盤就是對店家手藝最高的致敬

謝謝老闆娘和老闆堅持給客人最好的品質，來師大必吃的好店","堤香在泰順街的新民小學附近的巷內，算是價格親民的義大利麵店，麵量足夠吐司和紅茶自助式可自取，＄＄120～140左右。

若要省荷包又要吃得飽，可以。但美味度就不能太期待了，尚可而已。

用餐區有一樓及B1，但1樓較為舒適。內部裝潢有鄉村樸實風，簡單舒適",生意很好，麵量很大，個人覺得口味中規中矩，沒有特別讓人驚艷的地方。,"土司吃到飽，義大利麵水準尚可
吃飽絕對沒問題
口味就一般般","蒜香培根在同價位區間沒有對手
不要輕易加辣，小辣就是大辣..."
西式/美式,義大利麵,ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,"雙人分享餐499，ＣＰ值高
美味程度：
環境程度：
服務態度：
再訪意願：
CP值（美味/價錢）：

多訪麵工坊，推薦紅醬辣味雞肉義大利麵加雪花牛肉+39，雙人分享餐可任選菜單上任二份主餐，主餐沒有有限制選擇，讚！！套餐內容：有附濃湯*2、炸物雙拼、主餐*2（義大利麵或燉飯任選）甜點*2、飲品*2
雞塊外酥內軟，薯條好吃份量多！
香蒜中卷義大利麵，橄欖油清炒義大利麵味道算是重口味，特製的醬，吃起來甜甜的，點餐時有告知，可改成蔥蒜炒(不甜的醬)，店家蠻貼心，紅醬義大利麵番茄熬煮七小時，番茄紅醬濃郁，吃起來涮嘴，份量很足夠，最後重頭戲來了，鏘鎒「提拉米蘇」大推，奶茶甜點剛好好喝,真滿足！！
整體來說都表現還不錯，雙人分享餐CP值高，二人吃下來特價499，不收服務費，可常來吃！",吃過蠻多間義大利麵，單點麵都$200元起跳，今天來到公館意外發現一間「麵工坊義大利麵店」，點了熬六小時義大利麵只要$130！！！非常平價，份量實足，且用料食材非常實在，值得推薦,今天點了辣味雞肉義大利麵跟白酒蛤蠣義大利麵，辣味雞肉麵的醬汁非常濃郁好吃，熬了六小時的紅醬果然厲害，雞肉不乾柴烹調時間非常剛好，蛤蠣算飽滿大顆，麵入味，而且喝得出來店家的濃湯也很用心，紅茶是用二砂糖泡的，店家用心，其他同行友人點的餐點也很好吃，如果有到公館商圈遊玩可以考慮到店內用餐，送餐速度超快價格不貴份量又很足夠喔。,上次跟朋友吃了一次，念念不忘他們家的櫻花蝦意大利麵！便宜大碗只要110元，加了套餐有薯條、湯、飲料，200塊有找啊？真滴好吃，今天又來光顧，一如往常的複印品質，歐伊系！,今天中午去用餐，結帳時店員沒主動開發票，回到座位要用餐才發現沒拿發票，跟店員問有發票嗎？才說有，然後補開給我，而且我點了肉醬麵130+炸雞咖哩飯135+紅茶15+提拉米蘇兌換價29，實際付款340 （所以有加服務費的），結果發票金額是314（開給我當下沒注意到發票金額不對所以沒當下跟店員反應），東西是不錯吃，可是不主動給發票事後補開金額還短漏，這一點很不可取，希望店家能改進！
西式/美式,義大利麵,ChIJtde7A4mpQjQR3cag3SFcF7c,蘇活義大利麵坊,"我超級愛這家店的！
身為青醬的愛好者
青醬培根義大利麵是定期來吃的必點
如果不會變胖的話，我可以每天都吃它...
青醬培根義大利麵有五顆星！


因為沒吃過冷麵所以點了煙燻鮭魚橙汁冷麵
麵很Q彈搭配橙汁也很夏天的清爽風味
只是鮮黃的橙片有點太多片了
每當橙片混雜在義大利麵中一同入口時
總會被苦硬的橙皮給驚嚇到
若能將橙片細削成絲相信口感會更好

已經N訪蘇活了
只是這次才有認真寫評論
本來很想給五顆星
但還有些上菜速度太慢、紅茶太甜、價格越來越貴、環境普通等小小缺點可以改進
希望不要再漲價了呀",一試成主顧，菜單上的餐點目前吃了大概有七成了。喜歡酸辣（偏辣）口味的話，超推夏季限定的聖女墨魚檸香冷麵，超涮嘴！價格親民，古早味紅茶免費供應。如果天氣不熱的話，建議坐室外的位子，晚上挺舒服放鬆的。（不過甜點真的很普普啦）,這次點青醬蛤蜊義大利麵，單份現炒，雖然比較久，但口味不錯，蒜香、青醬香（九層塔）有炒出來，醬汁也有花時間收乾，以價位來說是不錯的選擇！,"離捷運站不算遠，走八分鐘左右就到了
店內有賣素食的餐點，味道很濃很香很好吃，而且素食餐點是會單獨調配，可以讓有吃葷跟吃素的人一起用餐，服務人員也很親切，第一次去不知道有飲料，服務人員就幫我裝好拿到位置上，讚哦！","奶油南瓜燉飯實在太好吃了...
燉飯有南瓜的清香與回甘 太厲害了
願意為這個燉飯專門跑公館一趟
完全就是台北市最好吃
跟Billini / cosi o cosi 或是其他高價位的義大利餐廳有得比"
西式/美式,義大利麵,ChIJr8nKUo6pQjQRaGxnl2ugufE,義麵館,雙醬鮮蝦麵還可以，蕃茄湯普通，牆上塗鴉很有特色。起司粉任你灑。,有附湯或飲料 還有一罐起司！！真的太快樂了,雖然是小小一間店，但是味道還不錯，好吃！,"經濟實惠
番茄鮪魚麵好吃
但蕃茄湯有點淡
起司粉任加很棒～～",小朋友愛吃，好吃又便宜，下次會再來
西式/美式,義大利麵,ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,還有飲料喝到飽,"平價分量又不少 口味一般

2020/8加註
一陣子沒來
價格又漲了
從以前100-110漲到現在140-150
麵的份量變少
奶油白醬味道有變但還行
青醬/奶油青醬整個變淡不少 ","這曾是我最喜歡的一間店，每間分店都留下了足跡，後來知道貴店頂讓了覺得很可惜也很難過，近期看到你們東山再起，我以為我想念的味道回來了，便很開心的與家人前往。
原本想一如往常的，看到菜單就畫第一個""蛋蜜煙燻培根義大利麵"" 這道是我從小吃到大，不曾變過的口味，歷經漲價、份量減少，但香氣還是那樣濃郁。
不過那天一踏進去，發現以往吃飯時間人潮滿滿的店面寥寥無幾，呼吸的空氣瀰漫著令人不適的味道，但我們沒有多想，坐下來想畫菜單，在菜單上卻看不到熟悉的名字，於是我點了類似的想來回味，一入口，醬料先是如同稀釋般的滑入喉嚨，甚至還很神奇的在白醬中加了九層塔葉片，以致於白醬應有的奶油味、香料味是沒有的，我不覺得那是白醬，濃湯也不再是料多實在，整份餐點只吃出了一絲敷衍。
每吃一口我跟家人就多失望一口，那是我唯一一次未將義大利麵吃完。
這顆星給的是我熟悉的義大利麵，不然一顆星我都不願意給。","原本看了不高的評價, 但吃了之後似乎沒那麼不堪. 位置算多, 空間也算大, 有免費的飲料, 服務是很冷淡但是也沒收服務費所以不在意, 至於麵的口味就跟一般平價的義大利麵吃起來都差不多, 算是個還可以再來消費的餐廳","更新
已跟老闆聯絡上 老闆誠摯的為該員工的危機處理道歉了並表示將員工開除了

原文
好不好吃是主觀問題 服務態度也是主觀問題
但食品安全是最基本的也做不到
反應義大利麵的配菜是酸的
店員直接跟我說請google評論反應
我問可不可以跟店長反應
他說老闆不在 他不能給我老闆電話
我說那我留電話 請他聯絡我
店員說老闆不會打給我
叫我直接去衛福部檢舉
？？？
謝謝少緯出來回應"
西式/美式,義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,濃湯的酥皮很不酥就一片黃黃的 感覺烤熱而已，當天用餐大概一小時，收餐盤的速度感覺用餐起來有壓力感但還是能理解位置比較少考慮到翻桌率，只是客人的感受還是滿重要的。當天點牛肝菌燉飯，口味是好吃，可從照片應該看的出來比較像燴飯覺得可惜,"這家吃了20年 會選擇這邊吃就是因為
料多 味美 價位親民 份量加大又便宜
以前一個月總是會吃個幾次
然而現在只剩下味美
大幅度的漲價 材料卻沒有以往的多
現在只有半年會吃個一兩次
只為吃個回憶 覺得很可惜","麵條小硬沒關係，外場服務阿姨態度有點太急躁了，講話又急又吵雜給人壓力，空間超狹窄，阿姨一直撞到我和對面男子的椅背，麵差點要噴出來♀♀
明明6點多點菜說沒有酥皮濃湯，但6:45還可以出兩份給其他晚進來的客人？我們和隔壁桌都覺得傻眼","位子非常狹窄小擁擠
白酒蛤蜊義大利麵130元 就是便宜的義大利麵
大概有六個蛤蜊 我不懂為什麼要加小黃瓜 完全不搭
吃到後來非常鹹",昨日嘗試義大利麵自己配 選了 豆腐乳 細麵 蛤蜊和雞肉 吃起來有點妙 不過再吃個幾口 感覺這組合也還不錯 一口接著一口 默默的也吃完了 這間上麵速度很快 口味有點偏台式  我個人是覺得還不錯啦
西式/美式,義大利麵,ChIJR6Fki4WpQjQRTm7OtKYv3hY,Libert自由義式廚房師大店,焗烤好吃 不過稍微偏貴,專業服務！餐點美味～,"偶然來到這間店用餐，店內座位不多，但環境舒適、溫馨，店員親切，會詳細介紹菜單上的菜色，位客人提供合適的用餐建議。
在餐點的選擇上主要有沙拉、義大利麵、燉飯、披薩、炸物及甜點飲料，沙拉有很多種類的蔬菜，搭配櫻桃鴨胸及蘋果，用料實在。濃湯中規中矩，味道上不會太濃或是太淡。炸魚以及炸雞柳非常好吃，皮炸得非常酥脆，但不會到燙口的程度，搭配塔塔醬堪稱極品，讓我們一塊接著一塊的吃。披薩有很多口味可以做選擇，也可以做雙拼，滿足想吃不同口味的人，也有素食可以做選擇。義大利麵及頓飯也算是中規中矩，起司雞腿義大利麵的雞腿炸得也很不錯，淋上起司起來不會太膩，也可以把一些起司加在麵上，試試不一樣的搭配，青醬燉飯也是中規中矩，焗烤有完全覆蓋但沒有到特別厚。飯跟麵都可以做加大不加價，如果食量較大的可以斟酌選擇，我們是三個人吃三人分享餐，麵飯都加大，吃得非常飽，最後剩一點點飯吃不完。另外特別的是我點的冬瓜茶裡面有奇亞籽，算是特色之一，在餐點上沒有特別註明，是餐點上桌後才發現的。如果想要與朋友們一起聚餐，這裡是不錯的地點，不用擔心價格太高或是吃不飽的問題，特別推薦他的炸魚跟炸雞柳！","福音餐廳～
服務生小姐很有禮貌&熱心
餐點是海陸辣義麵 CP值高&好吃

看到一列藏書還不錯
下次有機會單獨來看書+用餐！",在台北市親民價位的義大利麵店。東西還錯吃，但醬汁偏淡。上菜速度不快（可能前面有一堆菜）。
西式/美式,義大利麵,ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,"剛剛逛公館發現搬家了  搬到水源市場這裡 店面變小間了
交通更方便 試營運打8折   奶油雞肉義大利麵跟以前在新生南路一樣好吃
在平價義大利麵中算是沒甚麼好挑剔","現在已經搬家到汀州路
搬家之後店內座位明顯不足、空間狹小，完全不適合用餐，原本的免費麵包和濃湯現在要加價20元，搬家後菜單改了沒有蝦仁的麵，還漲價10元，等於是變相漲價30元
要從我的午餐雷達中刪除 ",不是在最尖峰時段去 一盤麵等了35分鐘 一直在出外帶/送單 冬瓜茶甜到就算口渴也喝不下去,今天剛好遇到搬家試營運打八折 加價玉米濃湯喝到飽 濃湯喝起來像用了十包麵粉加奶粉泡的 還喝到麵粉塊 打折不是為了給各位節省成本 這是我喝過最難喝的玉米濃湯。好啦服務還可以 給你一顆星,"義大利麵不好吃
玉米濃湯超難喝 喝起來都是麵粉奶粉的味道
蛤蜊腥味很重
真的是我吃過最難吃的
超級不推"
西式/美式,義大利麵,ChIJl-sBDI-pQjQRuAvhyCfLSGU,佬披薩LAPIZZAitalian,四種口味起士披薩必吃 真的超好吃的,"已經是三訪了吧！
這次吃了編號0的波特先生pizza和珠貝明太子義大利麵，另外再點了一份莎莎醬炸花枝圈，

波特先生的蕃茄肉醬味超濃，一開始吃覺得口味很重，有點震撼，之後就愈吃愈好吃，
明太子義大利麵表現滿好的，份量也不少，
炸花枝圈麵衣對我來說太厚，口感偏硬，

整體來說我還是很喜歡，而且服務態度很好，一直看到有外送員進出，看來也是外送的熱門餐廳，希望你們可以持續製作美味的食物

---------
Pizza好吃，手工麵包沾鮪魚醬也很讚","兩顆星給食物跟裝潢，餐點好吃、裝潢好。
平常會叫這家Uber，想說去看看現場，沒想到體驗踩雷了。

但現場感受度很差，也不會想叫他們家外送了。
帶著老婆跟嬰兒車，前面台階高，我們手上也大包小包進門，有點不方便。(但這不會不開心，嬰兒車一定會遇到）

主要是，進門後，店員看見我們退後三步詢問 內用嗎?
我們往前、店員就往後退，我們大概隔三公尺以上吧，那時感受就很差，我們很髒嗎？再加上一臉不悅（我們都還沒做什麼，表情就不悅？）
這裡可以當作我們玻璃心，但下面無法。

再來要我們自己找座位，找了之後，店員一直都是「遠遠的」觀望，詢問我們是否可以拿走一張椅子跟坐這裡後。我們自己橋座位、自己從內側椅子拿走一張放嬰兒車（手上大包小包，很狼狽的在搬），店員呢？站在遠處看著我們忙，也沒有要出手的意思。

上菜後，自己倒水，發現杯子上超多白色毛削，最後挑了兩個最少的。自己擦杯子。

對了，就算平常有在叫Uber，但沒來過算第一次，店員也不會來介紹，丟了菜單就走。

後來有個有兩個小孩的家庭進來，小朋友明顯很活潑，但卻偏要安排在我們隔壁、更讓小朋友坐在嬰兒車旁邊。（當時店裡內用只有我們）有點訓練的店家，應該會幫忙避掉吧？

吃飯過程，都沒麻煩店員。

但吃飯過程中，旁邊店員會像巡邏一樣在你身邊遊走、盯著碗盤，不是很舒服，可能因為表情不太好、距離也很近。當拿走最後一塊食物後，還沒入嘴，就馬上收走。讓人有點覺得在趕人。

最後，這樣的服務跟員工訓練，還加收服務費。
最後這點是讓人最不滿的地方，若訓練足，服務費收的我們心甘情願。
若不收服務費，上述所有情況，都是合理的；但你們有收。

價位與現場體驗不成正比，建議老闆要收服務費就人員訓練加強，不然現在連Uber滑到都不想叫。","訂了uber eats
pizza是蠻好吃的
有點小可惜餐點已經冷掉了
希望店家可以跟uber eats溝通",和朋友來這邊用餐，手工的披薩，烤得酥脆，南瓜湯很濃郁，會有一段時間不想再吃P牌和D牌了。
西式/美式,義大利麵,ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,第一次發現這麼隱密、環境這麼舒適的簡餐，而且食物非常健康！完全符合健康餐盤，飯剛好給一小口、舒肥雞胸肉非常多汁好吃、炒蛋根本是美味、連配菜都是烤過的蔬菜，非常驚艷，絕對是附近聚會的第一名單,"食物用料不錯
空間舒服
但餐點等候時間有點久
大約等了半小時
用餐人數約6成滿
但上飲料的時間控制的不太好
餐點完全用完又等了十幾分鐘都還沒開始做
有點兒小可惜
服務態度普普
不算特別好","點餐完畢後零散上餐
一樣是法式早餐，卻差了40分鐘分別上餐
一杯咖啡等了超過70分鐘
改外帶杯
也是只能繼續等20分鐘
工作動線規劃需要改善
不過值得稱讚的是雖然一直很慌忙但是態度依舊保持友善
服務熱忱有餘，能力不足","餐點很美味，店內種有很多生菜，一個現拔現做的概念（？）
點了咖喱雞軟法，口感跟調味相當不錯
很喜歡嫩蛋裡面的馬鈴薯，軟嫩好吃
店家服務態度也很好喔，相當推薦！","9/11中午去吃的吧，送來的菜單上沒有商業午餐，結完帳才發現自己要點的套餐有商業午餐，也比較便宜，所以問店員能不能更換，店員說不行已經做了（才過一分鐘^^）

餐點裡的菜是店家自己種的，水耕生菜真的有夠難吃完全沒味道==

還有店內設備滿舊的，室內有一個怪味，喝水的杯子也很髒，真心不推"
西式/美式,義大利麵,ChIJNXGKfI-pQjQREYi3qrSEcM8,新天堂義大利廚房,"雖然價位對學生來說有些偏高
但有個香茅口味的燉飯或麵 超好吃
那個味道真的會讓人一口接一口
很推每次逛師大必吃
焗烤馬鈴薯也很讚 是隱藏菜單
提拉米蘇也超好吃",直接點最貴的蛤蜊墨魚麵就對了，這道餐點使用進口墨魚汁製作，和一般只是墨魚麵條很不一樣，加上西式的乾辣椒，鮮辣美味，是小圈子之外會吃的義大利麵,週日七點多前往用餐，一進門便跟服務員說二位，一位服務員轉頭就走，另一位綁馬尾女服務生剛好送餐至靠門口座位，連正眼都不看便冷冷地說「二位沒位子」然後呢？？？我們二個傻眼，是沒要收客的意思？呆站了一下便轉身離開店家，回頭看店內還有另外二個店員站在最後面說笑？就算看評論餐點有多好吃也不可能再光顧，明明營業時間到10點，七點多就這樣不接客的態度？,好吃！點熱紅茶會附上蜂蜜跟檸檬片！！！超級好喝很有特色,從小吃到大的美味義大利麵，老闆人好、服務親切
