place_id,chinese_name,pinyin
ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,dī xiāng yì dà lì miàn 
ChIJEXaXDQ2pQjQRHSGk4ZJdvyI,麵工坊義大利麵公館JR店,miàn gōng fāng yì dà lì miàn gōng guǎn JR diàn 
ChIJtde7A4mpQjQR3cag3SFcF7c,蘇活義大利麵坊,sū huó yì dà lì miàn fāng 
ChIJr8nKUo6pQjQRaGxnl2ugufE,義麵館,yì miàn guǎn 
ChIJ7bzsvIWpQjQRk1C7r1gMmFE,發現義大利麵,fā xiàn yì dà lì miàn 
ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,fèi sī dá xiāng cǎo yáng shí guǎn 
ChIJR6Fki4WpQjQRTm7OtKYv3hY,Libert自由義式廚房師大店,Libert zì yóu yì shì chú fáng shī dà diàn 
ChIJux-i5E6pQjQRxYPJq9IlSls,轉轉發現義大利麵,zhuǎn zhuǎn fā xiàn yì dà lì miàn 
ChIJl-sBDI-pQjQRuAvhyCfLSGU,佬披薩LAPIZZAitalian,lǎo pī sà LAPIZZAitalian 
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,mì jìng xiǎo shí guāng / yì dà lì miàn / dùn fàn / pái cān / zǎo wǔ cān / shāng yè wǔ cān / wǔ wǎn cān / kā fēi guǎn | xià wǔ chá | chǎng dì zū jiè 
ChIJNXGKfI-pQjQREYi3qrSEcM8,新天堂義大利廚房,xīn tiān táng yì dà lì chú fáng 
ChIJn2WTm4-pQjQRRGJXeooRB-4,瑪琪朵義式廚房,mǎ qí duǒ yì shì chú fáng 
ChIJNfAt5MSrQjQR-Z8NpMSCkjk,POST霞飛驛歐法點餐,POST xiá fēi yì ōu fǎ diǎn cān 
ChIJXbirD4mpQjQRIaUprnvvILw,Pasta 2 Go,Pasta 2 Go 
ChIJgWY_hIupQjQRX-bmeNK-b2c,首都烘焙餐廳-公館店,shǒu dū hōng bèi cān tīng - gōng guǎn diàn 
ChIJswp0NJCpQjQRXCIZhrkhW7E,MiSTA House,MiSTA House 
ChIJW9xpdYqpQjQR4NsbXo2VHmc,帕兔,pà tù 
ChIJQ58t3IqpQjQRnudJ2hZIctM,狂愛咖哩 Just Love Curry,kuáng ài kā lī  Just Love Curry 
ChIJq4CrE4mpQjQRJPnkytgaWVI,稻咖哩,dào kā lī 
ChIJYW1dk-upQjQRbFzQRmjRGLQ,寶貝咖哩 Treasure Curry 日本湯咖哩,bǎo bèi kā lī  Treasure Curry  rì běn tāng kā lī 
ChIJB1avwF2pQjQRKfuOW99lGHY,NoName無名咖哩 台大店,NoName wú míng kā lī   tái dà diàn 
ChIJb95duVepQjQR9Px18Q2_3aM,咖哩杯杯,kā lī bēi bēi 
ChIJMd7HkIWpQjQRxsZTwf1HrwQ,正宗馬來西亞咖哩雞飯,zhèng zōng mǎ lái xī yà kā lī jī fàn 
ChIJO4lhio-pQjQRfksW7DahqLs,銀兔湯咖哩--特色必吃湯咖哩推薦 日式湯咖哩 日式料理餐廳 師大人氣美食 咖哩 古亭台電大樓捷運站附近美食餐廳,yín tù tāng kā lī -- tè sè bì chī tāng kā lī tuī jiàn   rì shì tāng kā lī   rì shì liào lǐ cān tīng   shī dà rén qì měi shí   kā lī   gǔ tíng tái diàn dà lóu jié yùn zhàn fù jìn měi shí cān tīng 
ChIJpcsW-IipQjQR7Fv0jfqck_E,公館-咖哩先生,gōng guǎn - kā lī xiān shēng 
ChIJ_fgu74qpQjQRVxMsgm1RIRs,三時午咖哩屋,sān shí wǔ kā lī wū 
ChIJ0ecXFh6pQjQRHseNTyDDdog,小丘chiu巢咖哩,xiǎo qiū chiu cháo kā lī 
ChIJO4lhio-pQjQR2Vl2-rAuw30,湯咖哩,tāng kā lī 
ChIJH1Grn4upQjQRdZr5MccaMUI,金牛座牛排館,jīn niú zuò niú pái guǎn 
ChIJC_TnkYWpQjQRhxW2l17CRdc,牛魔王牛排,niú mó wáng niú pái 
ChIJl19DPiypQjQRtD2HKVjMkzE,牛二哥牛排館,niú èr gē niú pái guǎn 
ChIJszEPkYWpQjQRbMoDXuPVJkI,牛魔王牛排館 龍泉店,niú mó wáng niú pái guǎn   lóng quán diàn 
ChIJ9Tlx4NSpQjQRz_IB3tkM0V4,孫東寶牛排大安羅斯福店,sūn dōng bǎo niú pái dà ān luó sī fú diàn 
ChIJcZxRZB2pQjQRuahHVqB5oH0,威宇牛排 - 公館店,wēi yǔ niú pái  -  gōng guǎn diàn 
ChIJkyhZx4qpQjQRmedCjTZZmec,有間牛排,yǒu jiān niú pái 
ChIJrfUpGjOpQjQRDnFOEvCTOlI,好吃好吃 2號店,hǎo chī hǎo chī  2 hào diàn 
ChIJDfTnkYWpQjQRFCyyiSmODxo,食粥致神仙,shí zhōu zhì shén xiān 
ChIJddB-FnOpQjQRtpaWgedVZPI,源士林粥品,yuán shì lín zhōu pǐn 
ChIJsxRQ5oupQjQRN_9HJB8OuEk,粥粥頌廣東粥專賣店,zhōu zhōu sòng guǎng dōng zhōu zhuān mài diàn 
ChIJQYTfqBOpQjQRKNiCxhUtQAs,友町冰品,yǒu tīng bīng pǐn 
ChIJm6NFboypQjQR-FXOgyKvjA4,Mr. 雪腐 公館店,Mr.  xuě fǔ   gōng guǎn diàn 
ChIJmRLFCoupQjQRoc6UGsh0-dI,以利泡泡冰,yǐ lì pào pào bīng 
ChIJq98Fh9KpQjQR5Ppeb-q---8,基仔冰,jī zǎi bīng 
ChIJnX29aompQjQR1Mz4z-ccjh4,好想吃冰 かき/日式蔬食 台大公館店（公館美食.公館素食.日式素食）,hǎo xiǎng chī bīng  かき/ rì shì shū shí   tái dà gōng guǎn diàn （ gōng guǎn měi shí . gōng guǎn sù shí . rì shì sù shí ） 
ChIJSZWZbwOpQjQRZ0I4u3wZZiY,旺來甜冰品-Wang Lai Ice Shop,wàng lái tián bīng pǐn -Wang Lai Ice Shop 
ChIJq6qqqoupQjQRYbGXSz3WNEc,九品川,jiǔ pǐn chuān 
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,bō xǐ 
ChIJI1lDqY-pQjQR3GW0V3-gTPc,龍角手作茶師大店-師大必喝飲料|外送飲料|飲料推薦|台電大樓附近美食|夜市飲料推薦|打卡美食,lóng jiǎo shǒu zuò chá shī dà diàn - shī dà bì hē yǐn liào | wài sòng yǐn liào | yǐn liào tuī jiàn | tái diàn dà lóu fù jìn měi shí | yè shì yǐn liào tuī jiàn | dǎ kǎ měi shí 
ChIJUdCXA4mpQjQRZPGRRpD3Id4,大安新生59(朝顏的部屋),dà ān xīn shēng 59( cháo yán de bù wū ) 
ChIJuaw9uIqpQjQR4ti8RP9PTro,綠屋冰城,lǜ wū bīng chéng 
ChIJv61btrmpQjQRCIQFTdbLQ38,墨潮青蛙撞奶,mò cháo qīng wā zhuàng nǎi 
ChIJyRzQjoWpQjQRDHBYXyxSVSs,古早茶坊,gǔ zǎo chá fāng 
ChIJmdQQdoupQjQRXbuKj3Ywky0,墾丁蛋蛋ㄉㄨㄞ奶,kěn dīng dàn dàn ㄉㄨㄞ nǎi 
ChIJU81LuSCpQjQR3gYkJkfD-8g,阿二冰茶,ā èr bīng chá 
ChIJnXwOZI6pQjQRAflopgjJ4YQ,六雪亭,liù xuě tíng 
ChIJmVrVBoupQjQRbT6PhVBBGNc,鴉片粉圓,yā piàn fěn yuán 
ChIJz-h4Q1GpQjQR6LHc8buGm28,五桐號Wootea 公館店,wǔ tóng hào Wootea  gōng guǎn diàn 
ChIJQdaEkUypQjQReJPpCdabjD0,大學口林老杯,dà xué kǒu lín lǎo bēi 
ChIJI1lDqY-pQjQR3GW0V3-gTPc,龍角手作茶師大店-師大必喝飲料|外送飲料|飲料推薦|台電大樓附近美食|夜市飲料推薦|打卡美食,lóng jiǎo shǒu zuò chá shī dà diàn - shī dà bì hē yǐn liào | wài sòng yǐn liào | yǐn liào tuī jiàn | tái diàn dà lóu fù jìn měi shí | yè shì yǐn liào tuī jiàn | dǎ kǎ měi shí 
ChIJPQpyvYupQjQR_RhYmpFQnmM,波囍,bō xǐ 
ChIJq6qqqoupQjQRYbGXSz3WNEc,九品川,jiǔ pǐn chuān 
ChIJrcW9oiCqQjQRGDUC1R2jDCg,原典鮮沏茶,yuán diǎn xiān qī chá 
